Gemeinde|Art|Landkreis|Bezirk|AGS
Moosthenning|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-128
Mörnsheim|Markt|Eichstätt|Oberbayern|09-176-148
Motten|Gemeinde|Bad Kissingen|Unterfranken|09-672-134
Möttingen|Gemeinde|Donau-Ries|Schwaben|09-779-185
Mötzing|Gemeinde|Regensburg|Oberpfalz|09-375-171
Mühldorf am Inn|Stadt|Mühldorf am Inn|Oberbayern|09-183-128
Mühlhausen|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-143
Mühlhausen|Gemeinde|Neumarkt in der Oberpfalz|Oberpfalz|09-373-146
Muhr am See|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-114
Münchberg|Stadt|Hof|Oberfranken|09-475-154
Münchsmünster|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-139
Münchsteinach|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-150
Münnerstadt|Stadt|Bad Kissingen|Unterfranken|09-672-135
Munningen|Gemeinde|Donau-Ries|Schwaben|09-779-188
Münsing|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-137
Münster (Lech)|Gemeinde|Donau-Ries|Schwaben|09-779-187
Münsterhausen|Markt|Günzburg|Schwaben|09-774-160
Murnau am Staffelsee|Markt|Garmisch-Partenkirchen|Oberbayern|09-180-124
Nabburg|Stadt|Schwandorf|Oberpfalz|09-376-144
Nagel (Fichtelgebirge)|Gemeinde|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-138
Naila|Stadt|Hof|Oberfranken|09-475-156
Nandlstadt|Markt|Freising|Oberbayern|09-178-144
Nassenfels|Markt|Eichstätt|Oberbayern|09-176-149
Nennslingen|Markt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-151
Nersingen|Gemeinde|Neu-Ulm|Schwaben|09-775-134
Nesselwang|Markt|Ostallgäu|Schwaben|09-777-153
Neualbenreuth|Markt|Tirschenreuth|Oberpfalz|09-377-142
Neubeuern|Markt|Rosenheim|Oberbayern|09-187-154
Neubiberg|Gemeinde|München|Oberbayern|09-184-146
Neubrunn|Markt|Würzburg|Unterfranken|09-679-164
Neuburg an der Donau|Große Kreisstadt|Neuburg-Schrobenhausen|Oberbayern|09-185-149
Neuburg an der Kammel|Markt|Günzburg|Schwaben|09-774-162
Neuburg am Inn|Gemeinde|Passau|Niederbayern|09-275-133
Neuching|Gemeinde|Erding|Oberbayern|09-177-131
Neudrossenfeld|Gemeinde|Kulmbach|Oberfranken|09-477-142
Neuendettelsau|Gemeinde|Ansbach|Mittelfranken|09-571-180
Neuendorf|Gemeinde|Main-Spessart|Unterfranken|09-677-164
Neuenmarkt|Gemeinde|Kulmbach|Oberfranken|09-477-143
Neufahrn bei Freising|Gemeinde|Freising|Oberbayern|09-178-145
Neufahrn in Niederbayern|Gemeinde|Landshut|Niederbayern|09-274-153
Neufraunhofen|Gemeinde|Landshut|Niederbayern|09-274-154
Neuhaus an der Pegnitz|Markt|Nürnberger Land|Mittelfranken|09-574-140
Neuhaus am Inn|Gemeinde|Passau|Niederbayern|09-275-134
Neuhof an der Zenn|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-152
Neuhütten|Gemeinde|Main-Spessart|Unterfranken|09-677-165
Neukirchen|Gemeinde|Straubing-Bogen|Niederbayern|09-278-154
Neukirchen beim Heiligen Blut|Markt|Cham|Oberpfalz|09-372-144
Neukirchen bei Sulzbach-Rosenberg|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-141
Neukirchen vorm Wald|Gemeinde|Passau|Niederbayern|09-275-135
Neukirchen-Balbini|Markt|Schwandorf|Oberpfalz|09-376-146
Neumarkt in der Oberpfalz|Große Kreisstadt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-147
Neumarkt-Sankt Veit|Stadt|Mühldorf am Inn|Oberbayern|09-183-129
Neunburg vorm Wald|Stadt|Schwandorf|Oberpfalz|09-376-147
Neunkirchen|Gemeinde|Miltenberg|Unterfranken|09-676-143
Neunkirchen am Brand|Markt|Forchheim|Oberfranken|09-474-154
Neunkirchen am Sand|Gemeinde|Nürnberger Land|Mittelfranken|09-574-141
Neuötting|Stadt|Altötting|Oberbayern|09-171-125
Neureichenau|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-136
Neuried (bei München)|Gemeinde|München|Oberbayern|09-184-132
Neusäß|Stadt|Augsburg|Schwaben|09-772-184
Neuschönau|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-146
